name,mp_fracture,mp_fracture_underwater,mp_fracture_osp,mp_fracture_drone,mp_fracture_warbird
sunenable,1,1,1,1,1
sunshadowscale,1,0.3,1,1,1
sunshadowscale_time,0,0,0,0,0
spotlimit,4,3,4,4,4
qualityspotshadow,0,0,0,0,0
usedsuncascadecount,3,2,2,2,2
sunsamplesizenear,0.1,0.2,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,4,4,4,4,4
sunfilterradius_time,0,0,0,0,0
spotfilterradius,4,2,4,4,4
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1.5,1,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.1,0.15,0.087,0.087,0.087
veilstrength_time,0,0.1,0,0,0
veilbackgroundstrength,0.913,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,0,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust_time,0,0.1,0,0,0
tonemapexposure,-10,32,-10,-10,-10
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,0,0,0,0,0
tonemapexposureadjust_time,0,0,0,0,0
tonemapmaxexposure,-10,-9.75,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0
tonemapadaptspeed,.3,0.5,0.02,0.02,0.02
tonemapadaptspeed_time,0,0.5,0,0,0
tonemapdarkev,7.77867,6.7469,2.8401,2.8401,2.8401
tonemapdarkev_time,0,0,0,0,0
tonemapmidev,10.8783,7.1437,7.823,7.823,7.823
tonemapmidev_time,0,0,0,0,0
tonemaplightev,12.2505,7.5404,12.8058,12.8058,12.8058
tonemaplightev_time,0,0,0,0,0
tonemapdarkexposureadjust,-3.11102,-1.848,-3.1699,-3.1699,-3.1699
tonemapdarkexposureadjust_time,0,0,0,0,0
tonemapmidexposureadjust,0.0259801,-1.6531,-0.0651,-0.0651,-0.0651
tonemapmidexposureadjust_time,0,0,0,0,0
tonemaplightexposureadjust,0.769655,-1.4695,1.4739,1.4739,1.4739
tonemaplightexposureadjust_time,0,0,0,0,0
tonemapminexposureadjust,-3.1699,-3.1699,-3.1699,-3.1699,-3.1699
tonemapminexposureadjust_time,0,0,0,0,0
tonemapmaxexposureadjust,0.9719,2.3219,2.3219,2.3219,2.3219
tonemapmaxexposureadjust_time,0,0,0,0,0
tonemapwhite,512,512,512,512,512
tonemapwhite_time,0,0.1,0,0,0
tonemapshoulder,0.94,0.94,0.94,0.94,0.94
tonemapshoulder_time,0,0,0,0,0
tonemapcrossover,1,0.1,1,1,1
tonemapcrossover_time,0,0,0,0,0
tonemaptoe,0,0,0,0,0
tonemaptoe_time,0,0,0,0,0
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
aodiminish,1,1,1,1,1
aodiminish_time,0,0,0,0,0
ssaostrength,.55,0.6,0.45,0.45,0.45
ssaostrength_time,0,0,0,0,0
ssaopower,12,12,12,12,12
ssaopower_time,0,0,0,0,0
ssaominstrengthdepth,25,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0,0
hemiaostrength,0.5,0,0.5,0.5,0.5
hemiaostrength_time,0,1000,0,0,0
hemiaopower,1,0,1,1,1
hemiaopower_time,0,900,0,0,0
hemiaorejectionfalloff,0.5,0.5,0.5,0.5,0.5
hemiaorejectionfalloff_time,0,1,0,0,0
mdao,1,0,0,0,0
mdaooccluderculldistance,1000,1,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,1,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0.3,0,0,0
mdaocapsulestrength,.5,.5,.5,.5,.5
mdaocapsulestrength_time,0,3,0,0,0
mdaovolumestrength,1,0,1,1,1
mdaovolumestrength_time,0,2,0,0,0
